Date,OpenDELL,HighDELL,LowDELL,CloseDELL,VolumeDELL,OpenS&P500,HighS&P500,LowS&P500,CloseS&P500,VolumeS&P500
2020-09-30,34.56,36.21,29.84,30.54,"64,984,110","3,385.87","3,549.85","3,233.94","3,269.96","89,938,980,000"
2020-08-31,33.66,34.91,31.78,34.31,"101,118,026","3,507.44","3,588.11","3,209.45","3,363.00","92,310,780,000"
2020-07-31,30.36,34.27,30.06,33.49,"85,312,720","3,288.26","3,514.77","3,284.53","3,500.31","82,466,520,000"
2020-06-30,27.91,31.88,25.89,30.32,"137,813,657","3,105.92","3,279.99","3,101.17","3,271.12","96,928,130,000"
2020-05-31,24.96,27.99,23.12,27.85,"155,379,472","3,038.78","3,233.13","2,965.66","3,100.29","131,458,880,000"
2020-04-30,21.08,25.34,19.66,25.16,"97,446,076","2,869.09","3,068.67","2,766.64","3,044.31","107,135,190,000"
2020-03-31,19.13,22.13,18.01,21.64,"106,696,288","2,498.08","2,954.86","2,447.49","2,912.43","123,608,160,000"
2020-03-01,20.64,22.15,12.93,20.05,"187,864,129","2,974.28","3,136.72","2,191.86","2,584.59","162,185,380,000"
2020-02-01,24.73,27.16,19.87,20.51,"133,433,989","3,235.66","3,393.52","2,855.84","2,954.22","84,436,590,000"
2020-01-01,26.39,26.67,24.31,24.72,"103,716,072","3,244.67","3,337.77","3,214.64","3,225.52","77,287,980,000"
2019-12-01,24.51,26.5,23.53,26.05,"98,894,850","3,143.85","3,247.93","3,070.33","3,230.78","72,325,540,000"
2019-10-31,26.95,28.73,24.55,24.58,"90,087,969","3,050.72","3,154.26","3,050.72","3,140.98","72,410,620,000"
2019-09-30,26.42,27.45,24.71,26.81,"68,360,109","2,983.69","3,050.10","2,855.94","3,037.56","77,720,640,000"
2019-08-31,25.86,28.35,25.48,26.28,"108,567,088","2,909.01","3,021.99","2,891.85","2,976.74","74,178,980,000"
2019-07-31,29.37,29.98,22.48,26.12,"153,961,478","2,980.32","3,013.59","2,822.12","2,926.46","80,269,220,000"
2019-06-30,26.46,29.99,25.65,29.27,"114,387,833","2,971.41","3,027.98","2,952.22","2,980.38","70,599,470,000"
2019-05-31,30.11,30.17,25.63,25.75,"103,755,728","2,751.53","2,964.15","2,728.81","2,941.76","71,250,630,000"
2019-04-30,34.41,35.76,28.95,30.18,"80,348,649","2,952.33","2,954.13","2,750.52","2,752.06","77,250,740,000"
2019-03-31,30.3,34.21,30.02,34.17,"63,518,568","2,848.63","2,949.52","2,848.63","2,945.83","70,090,370,000"
2019-03-01,29.23,31.01,26.14,29.75,"100,585,119","2,798.22","2,860.31","2,722.27","2,834.40","79,159,660,000"
